iter	Passed	Remaining
437	1328	1704
438	1330	1700
439	1332	1696
440	1335	1692
441	1337	1688
442	1340	1685
443	1342	1681
444	1345	1678
445	1347	1674
446	1349	1669
447	1352	1666
448	1355	1663
449	1357	1659
450	1359	1655
451	1361	1651
452	1364	1647
453	1367	1644
454	1370	1640
455	1372	1637
456	1375	1634
457	1378	1631
458	1381	1628
459	1384	1625
460	1387	1621
461	1389	1618
462	1392	1615
463	1394	1611
464	1396	1607
465	1400	1604
466	1402	1601
467	1405	1597
468	1407	1594
469	1411	1591
470	1413	1587
471	1416	1584
472	1418	1580
473	1421	1577
474	1424	1574
475	1426	1570
476	1428	1566
477	1431	1562
478	1433	1559
479	1436	1556
480	1438	1552
481	1441	1549
482	1444	1546
483	1447	1543
484	1450	1539
485	1452	1536
486	1455	1533
487	1458	1530
488	1460	1526
489	1463	1523
490	1466	1520
491	1468	1516
492	1471	1513
493	1474	1510
494	1477	1506
495	1480	1504
496	1483	1501
497	1487	1499
498	1490	1496
499	1492	1492
500	1495	1489
501	1498	1486
502	1501	1483
503	1503	1479
504	1506	1476
505	1509	1473
506	1512	1470
507	1515	1467
508	1517	1464
509	1520	1460
510	1523	1457
511	1525	1454
512	1528	1451
513	1531	1448
514	1533	1444
515	1536	1441
516	1538	1437
517	1541	1434
518	1544	1431
519	1546	1427
520	1548	1423
521	1551	1420
522	1554	1417
523	1556	1413
524	1558	1410
525	1561	1406
526	1563	1403
527	1566	1400
528	1568	1396
529	1571	1393
530	1574	1390
531	1576	1386
532	1578	1383
533	1581	1379
534	1583	1376
535	1586	1373
536	1589	1370
537	1592	1367
538	1594	1363
539	1597	1360
540	1600	1357
541	1603	1354
542	1605	1351
543	1608	1348
544	1611	1344
545	1613	1341
546	1616	1338
547	1618	1335
548	1621	1332
549	1623	1328
550	1626	1325
551	1628	1322
552	1631	1319
553	1634	1315
554	1637	1312
555	1639	1309
556	1642	1306
557	1644	1302
558	1647	1299
559	1651	1297
560	1654	1294
561	1656	1291
562	1659	1287
563	1662	1284
564	1664	1281
565	1667	1278
566	1671	1276
567	1673	1272
568	1676	1269
569	1679	1267
570	1683	1264
571	1686	1261
572	1689	1258
573	1692	1255
574	1694	1252
575	1697	1249
576	1700	1246
577	1703	1243
578	1706	1240
579	1708	1237
580	1711	1234
581	1714	1231
582	1717	1228
583	1720	1225
584	1723	1222
585	1725	1219
586	1728	1215
587	1730	1212
588	1733	1209
589	1735	1206
590	1738	1203
591	1741	1200
592	1744	1197
593	1747	1194
594	1749	1191
595	1752	1188
596	1755	1185
597	1758	1182
598	1761	1179
599	1764	1176
600	1766	1172
601	1769	1169
602	1771	1166
603	1773	1163
604	1776	1159
605	1778	1156
606	1781	1153
607	1784	1150
608	1786	1147
609	1790	1144
610	1792	1141
611	1795	1138
612	1797	1135
613	1800	1131
614	1802	1128
615	1804	1125
616	1807	1121
617	1809	1118
618	1812	1115
619	1815	1112
620	1817	1109
621	1819	1105
622	1821	1102
623	1824	1099
624	1826	1095
625	1829	1092
626	1831	1089
627	1835	1087
628	1838	1084
629	1841	1081
630	1844	1078
631	1846	1075
632	1850	1072
633	1852	1069
634	1855	1066
635	1858	1063
636	1862	1061
637	1865	1058
638	1867	1055
639	1870	1052
640	1873	1049
641	1876	1046
642	1879	1043
643	1882	1040
644	1884	1037
645	1887	1034
646	1890	1031
647	1893	1028
648	1896	1025
649	1898	1022
650	1901	1019
651	1903	1016
652	1907	1013
653	1910	1010
654	1912	1007
655	1915	1004
656	1918	1001
657	1921	998
658	1924	995
659	1927	993
660	1930	990
661	1933	987
662	1936	984
663	1940	981
664	1942	978
665	1944	975
666	1945	971
667	1946	967
668	1947	963
669	1948	959
670	1949	956
671	1950	952
672	1952	948
673	1955	945
674	1957	942
675	1960	939
676	1963	936
677	1965	933
678	1968	930
679	1970	927
680	1972	923
681	1974	920
682	1977	917
683	1980	914
684	1982	911
685	1985	908
686	1987	905
687	1989	902
688	1992	899
689	1995	896
690	1997	893
691	1999	890
692	2002	887
693	2005	884
694	2008	881
695	2010	878
696	2013	875
697	2015	872
698	2018	869
699	2020	866
700	2023	863
701	2025	859
702	2028	856
703	2030	853
704	2032	850
705	2035	847
706	2037	844
707	2039	841
708	2042	838
709	2045	835
710	2047	832
711	2050	829
712	2053	826
713	2055	823
714	2058	820
715	2060	817
716	2063	814
717	2066	811
718	2068	808
719	2072	805
720	2075	802
721	2077	799
722	2079	796
723	2082	793
724	2085	790
725	2087	787
726	2090	784
727	2092	781
728	2095	778
729	2097	775
730	2100	772
731	2103	769
732	2105	766
733	2108	763
734	2110	761
735	2113	758
736	2116	755
737	2119	752
738	2122	749
739	2125	746
740	2128	743
741	2130	740
742	2133	737
743	2136	735
744	2139	732
745	2142	729
746	2144	726
747	2147	723
748	2149	720
749	2152	717
750	2154	714
751	2157	711
752	2160	708
753	2163	705
754	2165	702
755	2168	699
756	2170	696
757	2173	693
758	2175	690
759	2178	687
760	2181	685
761	2184	682
762	2187	679
763	2190	676
764	2193	673
765	2195	670
766	2198	667
767	2201	664
768	2203	661
769	2206	658
770	2208	656
771	2211	653
772	2215	650
773	2217	647
774	2220	644
775	2222	641
776	2225	638
777	2227	635
778	2230	632
779	2233	629
780	2235	626
781	2238	624
782	2241	621
783	2244	618
784	2247	615
785	2249	612
786	2252	609
787	2255	606
788	2257	603
789	2260	600
790	2262	597
791	2265	594
792	2268	592
793	2270	588
794	2273	586
795	2276	583
796	2279	580
797	2282	577
798	2284	574
799	2287	571
800	2289	568
801	2292	565
802	2295	563
803	2297	560
